sample_id,stego_path,payload_len,energy_percentile,key_text,mse,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,spectral_centroid_mean,zcr_mean,rms_mean,detectability_score
1,data\ml\stego_samples\sample_0001_p0_e1.wav,16,1.0,k1,4.3278805605950765e-06,-544.9588623046875,97.02566528320312,43.996788024902344,10.948402404785156,-7.360320091247559,-19.45382308959961,-23.54067611694336,-22.409561157226562,-18.129661560058594,-11.719490051269531,-5.457126617431641,-0.9306348562240601,1.0381906032562256,2518.193850740793,0.06988811492919922,0.05569000542163849,0.13609467446804047
2,data\ml\stego_samples\sample_0002_p0_e1.wav,16,1.0,k2,4.32788237958448e-06,-544.9591064453125,97.02537536621094,43.99684524536133,10.948524475097656,-7.360339164733887,-19.45372772216797,-23.54053497314453,-22.409648895263672,-18.129844665527344,-11.71977424621582,-5.457702159881592,-0.9309182167053223,1.0384080410003662,2518.186402112701,0.06988811492919922,0.05569000542163849,0.15976330637931824
3,data\ml\stego_samples\sample_0003_p0_e1.wav,16,1.0,k3,4.327891929278849e-06,-544.9591064453125,97.02517700195312,43.996517181396484,10.948629379272461,-7.36021614074707,-19.453739166259766,-23.540477752685547,-22.409671783447266,-18.12987518310547,-11.719583511352539,-5.457338333129883,-0.9307208061218262,1.0383009910583496,2518.188562072403,0.06988811492919922,0.05569000542163849,0.2840236723423004
4,data\ml\stego_samples\sample_0004_p0_e20.wav,16,20.0,k1,4.3278805605950765e-06,-544.9590454101562,97.02552032470703,43.996856689453125,10.948531150817871,-7.360324859619141,-19.453907012939453,-23.540735244750977,-22.409454345703125,-18.129491806030273,-11.71942138671875,-5.457157135009766,-0.9307305812835693,1.0381801128387451,2518.1830975897965,0.06988811492919922,0.05569000542163849,0.13609467446804047
5,data\ml\stego_samples\sample_0005_p0_e20.wav,16,20.0,k2,4.327875103626866e-06,-544.9593505859375,97.02517700195312,43.99693298339844,10.94875717163086,-7.360167503356934,-19.453712463378906,-23.540584564208984,-22.409820556640625,-18.130014419555664,-11.719745635986328,-5.457607269287109,-0.9308464527130127,1.0385713577270508,2518.1899631028687,0.06988811492919922,0.05569000542163849,0.06508875638246536
6,data\ml\stego_samples\sample_0006_p0_e20.wav,16,20.0,k3,4.327887836552691e-06,-544.959228515625,97.02533721923828,43.99668884277344,10.948629379272461,-7.359846115112305,-19.45355987548828,-23.54071044921875,-22.409866333007812,-18.130046844482422,-11.719545364379883,-5.45710563659668,-0.9306297898292542,1.0382531881332397,2518.1940642633836,0.06988811492919922,0.05569000542163849,0.23076923191547394
7,data\ml\stego_samples\sample_0007_p0_e40.wav,16,40.0,k1,4.327875103626866e-06,-544.9591064453125,97.02545166015625,43.99694061279297,10.948753356933594,-7.360118865966797,-19.45382308959961,-23.540760040283203,-22.409597396850586,-18.129627227783203,-11.719527244567871,-5.457436561584473,-0.930888831615448,1.0382713079452515,2518.1879616921524,0.06988811492919922,0.05569000914692879,0.06508875638246536
8,data\ml\stego_samples\sample_0008_p0_e40.wav,16,40.0,k2,4.327886472310638e-06,-544.959228515625,97.02537536621094,43.996944427490234,10.948580741882324,-7.360335350036621,-19.45361328125,-23.54050636291504,-22.409832000732422,-18.129749298095703,-11.719328880310059,-5.457442283630371,-0.9309669733047485,1.0383265018463135,2518.183436881795,0.06988811492919922,0.05569000542163849,0.21301774680614471
9,data\ml\stego_samples\sample_0009_p0_e40.wav,16,40.0,k3,4.327906935941428e-06,-544.9589233398438,97.0255126953125,43.99686050415039,10.9487943649292,-7.36025333404541,-19.454082489013672,-23.540775299072266,-22.40943145751953,-18.129419326782227,-11.719366073608398,-5.457463264465332,-0.9311119318008423,1.038017988204956,2518.1861189784786,0.06988811492919922,0.05569000542163849,0.4792899489402771
10,data\ml\stego_samples\sample_0010_p1_e1.wav,115,1.0,k1,4.327888291300042e-06,-544.9593505859375,97.02543640136719,43.997276306152344,10.948995590209961,-7.360552787780762,-19.4542293548584,-23.540645599365234,-22.40962791442871,-18.129886627197266,-11.71960163116455,-5.457265853881836,-0.9305710792541504,1.0387990474700928,2518.2276108279457,0.06988811492919922,0.05568999797105789,0.23668639361858368
11,data\ml\stego_samples\sample_0011_p1_e1.wav,115,1.0,k2,4.327901024225866e-06,-544.95849609375,97.02605438232422,43.9966926574707,10.94785213470459,-7.3608927726745605,-19.454269409179688,-23.540725708007812,-22.409399032592773,-18.12983512878418,-11.719799041748047,-5.457855224609375,-0.9313390254974365,1.0385825634002686,2518.2210486578083,0.06988811492919922,0.05569000169634819,0.40236687660217285
12,data\ml\stego_samples\sample_0012_p1_e1.wav,115,1.0,k3,4.3278964767523576e-06,-544.9593505859375,97.02497863769531,43.99681091308594,10.949134826660156,-7.360126495361328,-19.453996658325195,-23.540691375732422,-22.409809112548828,-18.129745483398438,-11.719366073608398,-5.457469940185547,-0.9309974908828735,1.0384385585784912,2518.2228375143222,0.06988811492919922,0.05569000914692879,0.34319525957107544
13,data\ml\stego_samples\sample_0013_p1_e20.wav,115,20.0,k1,4.327889200794743e-06,-544.9595336914062,97.02549743652344,43.99766159057617,10.949457168579102,-7.359950065612793,-19.453876495361328,-23.540706634521484,-22.409587860107422,-18.129507064819336,-11.719331741333008,-5.457409858703613,-0.9310762882232666,1.0380160808563232,2518.2246771636173,0.06988811492919922,0.05569000169634819,0.24852071702480316
14,data\ml\stego_samples\sample_0014_p1_e20.wav,115,20.0,k2,4.327893748268252e-06,-544.9591674804688,97.02552032470703,43.996734619140625,10.94826889038086,-7.360267162322998,-19.453725814819336,-23.54045867919922,-22.409603118896484,-18.13051986694336,-11.720202445983887,-5.457451343536377,-0.9307446479797363,1.0387952327728271,2518.223770826777,0.06988811492919922,0.05569000169634819,0.3076923191547394
15,data\ml\stego_samples\sample_0015_p1_e20.wav,115,20.0,k3,4.327907390688779e-06,-544.9589233398438,97.02545928955078,43.99687957763672,10.948783874511719,-7.360696315765381,-19.45428466796875,-23.540620803833008,-22.40953826904297,-18.12940216064453,-11.719198226928711,-5.457457542419434,-0.9309569597244263,1.0383068323135376,2518.215867061518,0.06988811492919922,0.05569000169634819,0.48520711064338684
16,data\ml\stego_samples\sample_0016_p1_e40.wav,115,40.0,k1,4.327906481194077e-06,-544.9588623046875,97.02589416503906,43.997406005859375,10.948978424072266,-7.360176086425781,-19.453981399536133,-23.540794372558594,-22.409666061401367,-18.129684448242188,-11.719383239746094,-5.457006454467773,-0.9302684664726257,1.0384684801101685,2518.203800541821,0.06988811492919922,0.05569000169634819,0.47337278723716736
17,data\ml\stego_samples\sample_0017_p1_e40.wav,115,40.0,k2,4.3278923840262e-06,-544.959228515625,97.02525329589844,43.99650573730469,10.948112487792969,-7.360607147216797,-19.453866958618164,-23.540496826171875,-22.409433364868164,-18.129850387573242,-11.719654083251953,-5.457496643066406,-0.9310863614082336,1.0385435819625854,2518.2196109341585,0.06988811492919922,0.05568999797105789,0.28994083404541016
18,data\ml\stego_samples\sample_0018_p1_e40.wav,115,40.0,k3,4.3278846533212345e-06,-544.959228515625,97.02510833740234,43.99640655517578,10.94835090637207,-7.360490798950195,-19.454132080078125,-23.54084014892578,-22.40985870361328,-18.13005828857422,-11.719773292541504,-5.457399368286133,-0.9306443929672241,1.0386868715286255,2518.2012203049912,0.06988811492919922,0.05569000542163849,0.18934911489486694
19,data\ml\stego_samples\sample_0019_p2_e1.wav,214,1.0,k1,4.327901933720568e-06,-544.9588623046875,97.02642822265625,43.997802734375,10.949054718017578,-7.359648704528809,-19.45334243774414,-23.540245056152344,-22.409324645996094,-18.129940032958984,-11.719487190246582,-5.457174301147461,-0.9309855699539185,1.0384302139282227,2518.271175294148,0.06988811492919922,0.05569000542163849,0.41420117020606995
20,data\ml\stego_samples\sample_0020_p2_e1.wav,214,1.0,k2,4.327883289079182e-06,-544.9591064453125,97.02511596679688,43.99591827392578,10.94750690460205,-7.361278057098389,-19.453916549682617,-23.539939880371094,-22.40930938720703,-18.129806518554688,-11.71950912475586,-5.457552909851074,-0.9310692548751831,1.0387120246887207,2518.274721369915,0.06988811492919922,0.05569000542163849,0.17159762978553772
21,data\ml\stego_samples\sample_0021_p2_e1.wav,214,1.0,k3,4.327906481194077e-06,-544.9591064453125,97.02522277832031,43.99637985229492,10.948469161987305,-7.360030174255371,-19.453842163085938,-23.541034698486328,-22.409526824951172,-18.129194259643555,-11.719354629516602,-5.457479953765869,-0.9309715032577515,1.0382462739944458,2518.2122969239476,0.06988811492919922,0.05568999797105789,0.47337278723716736
22,data\ml\stego_samples\sample_0022_p2_e20.wav,214,20.0,k1,4.327901478973217e-06,-544.9586791992188,97.02645111083984,43.99748229980469,10.948259353637695,-7.3607869148254395,-19.454177856445312,-23.540313720703125,-22.40869140625,-18.129619598388672,-11.720128059387207,-5.457846164703369,-0.9310581088066101,1.0385479927062988,2518.2704884765567,0.06988811492919922,0.05568999797105789,0.4082840383052826
23,data\ml\stego_samples\sample_0023_p2_e20.wav,214,20.0,k2,4.327891019784147e-06,-544.9599609375,97.02458953857422,43.99648666381836,10.948478698730469,-7.3603010177612305,-19.45406723022461,-23.541208267211914,-22.41008758544922,-18.129783630371094,-11.719364166259766,-5.45792293548584,-0.9315789937973022,1.038859248161316,2518.25355421884,0.06988811492919922,0.05569000169634819,0.27218934893608093
24,data\ml\stego_samples\sample_0024_p2_e20.wav,214,20.0,k3,4.327905571699375e-06,-544.958984375,97.02536010742188,43.99675750732422,10.948673248291016,-7.360189437866211,-19.45357894897461,-23.540985107421875,-22.41040802001953,-18.129724502563477,-11.719276428222656,-5.457381248474121,-0.9306607246398926,1.0382484197616577,2518.2609463927965,0.06988811492919922,0.05568999797105789,0.4615384638309479
25,data\ml\stego_samples\sample_0025_p2_e40.wav,214,40.0,k1,4.327911028667586e-06,-544.959228515625,97.0260009765625,43.99772262573242,10.948688507080078,-7.360445976257324,-19.45362663269043,-23.540401458740234,-22.409364700317383,-18.1297550201416,-11.71972370147705,-5.457164764404297,-0.9307181239128113,1.0383409261703491,2518.2491575627364,0.06988811492919922,0.05568999797105789,0.5325443744659424
26,data\ml\stego_samples\sample_0026_p2_e40.wav,214,40.0,k2,4.3278769226162694e-06,-544.95849609375,97.02586364746094,43.99622344970703,10.9476957321167,-7.36068058013916,-19.45392608642578,-23.540443420410156,-22.409412384033203,-18.130084991455078,-11.719841003417969,-5.457684516906738,-0.9308589696884155,1.0393619537353516,2518.258577756345,0.06988811492919922,0.05569000914692879,0.08875739574432373
27,data\ml\stego_samples\sample_0027_p2_e40.wav,214,40.0,k3,4.327942406234797e-06,-544.95849609375,97.02592468261719,43.99634552001953,10.94774055480957,-7.360803127288818,-19.45404052734375,-23.540328979492188,-22.409141540527344,-18.129547119140625,-11.719515800476074,-5.457695007324219,-0.9309332966804504,1.0386159420013428,2518.2360442480212,0.06988811492919922,0.05568999797105789,0.9408283829689026
28,data\ml\stego_samples\sample_0028_p3_e1.wav,313,1.0,k1,4.327907390688779e-06,-544.9586181640625,97.0269775390625,43.9981689453125,10.948305130004883,-7.360426902770996,-19.453399658203125,-23.53999900817871,-22.409006118774414,-18.1296443939209,-11.719474792480469,-5.457444667816162,-0.9314711093902588,1.0378801822662354,2518.2893329457193,0.06988811492919922,0.05569000542163849,0.48520711064338684
29,data\ml\stego_samples\sample_0029_p3_e1.wav,313,1.0,k2,4.327870101406006e-06,-544.9589233398438,97.02519989013672,43.99586486816406,10.947227478027344,-7.361882209777832,-19.454299926757812,-23.539928436279297,-22.409269332885742,-18.130102157592773,-11.720512390136719,-5.458779335021973,-0.9316489696502686,1.038827657699585,2518.2869912999167,0.06988811492919922,0.05569000542163849,0.0
30,data\ml\stego_samples\sample_0030_p3_e1.wav,313,1.0,k3,4.327906935941428e-06,-544.9591674804688,97.02516174316406,43.9964714050293,10.948654174804688,-7.3605804443359375,-19.454063415527344,-23.5399169921875,-22.409149169921875,-18.12993049621582,-11.719755172729492,-5.457541465759277,-0.9307702779769897,1.0389493703842163,2518.3139399109523,0.06988811492919922,0.05568999797105789,0.4792899489402771
31,data\ml\stego_samples\sample_0031_p3_e20.wav,313,20.0,k1,4.32791330240434e-06,-544.9581298828125,97.02664947509766,43.99688720703125,10.947870254516602,-7.360677719116211,-19.453643798828125,-23.539875030517578,-22.408811569213867,-18.1295166015625,-11.719682693481445,-5.457694053649902,-0.9312968254089355,1.0378365516662598,2518.285648605609,0.06988811492919922,0.05569000169634819,0.5621301531791687
32,data\ml\stego_samples\sample_0032_p3_e20.wav,313,20.0,k2,4.327883743826533e-06,-544.95947265625,97.02462768554688,43.99602508544922,10.94847297668457,-7.360135078430176,-19.453784942626953,-23.540252685546875,-22.40930938720703,-18.13028907775879,-11.72049617767334,-5.458612442016602,-0.9317097663879395,1.0390679836273193,2518.2856071610236,0.06988811492919922,0.05569000542163849,0.17751479148864746
33,data\ml\stego_samples\sample_0033_p3_e20.wav,313,20.0,k3,4.327907390688779e-06,-544.9588623046875,97.02572631835938,43.99647521972656,10.948222160339355,-7.359519004821777,-19.452857971191406,-23.540420532226562,-22.40969467163086,-18.1296329498291,-11.719383239746094,-5.457359790802002,-0.9309764504432678,1.0381762981414795,2518.308181776165,0.06988811492919922,0.05569000542163849,0.48520711064338684
34,data\ml\stego_samples\sample_0034_p3_e40.wav,313,40.0,k1,4.327910119172884e-06,-544.95849609375,97.02679443359375,43.99774169921875,10.948209762573242,-7.360583305358887,-19.453243255615234,-23.539745330810547,-22.408851623535156,-18.129478454589844,-11.719758033752441,-5.457640647888184,-0.9307934045791626,1.0386676788330078,2518.2698570232105,0.06988811492919922,0.05569000542163849,0.5207100510597229
35,data\ml\stego_samples\sample_0035_p3_e40.wav,313,40.0,k2,4.327890110289445e-06,-544.9591064453125,97.02511596679688,43.99591827392578,10.947641372680664,-7.36055850982666,-19.453754425048828,-23.540328979492188,-22.409378051757812,-18.130199432373047,-11.72003173828125,-5.457930088043213,-0.9309818148612976,1.0389864444732666,2518.2734304514443,0.06988811492919922,0.05569000914692879,0.26035502552986145
